loc_rowid,pl_name,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,sy_dist,sy_disterr1,sy_disterr2
941,HD 24040 c,Radial Velocity,2021,515.40000000,2.20000000,-2.50000000,0,1.300000,0.021000,-0.022000,0,9.350,,,0,63.88351,8.58137,-8.58137,0,0.110000,0.120000,-0.079000,0,,,,,,,,,5776.49,84.58,-84.58,0,1.39,0.03,-0.03,0,1.10,0.05,-0.05,0,0.276,0.002,-0.002,0,46.6224000,0.1362000,-0.1355000
942,HD 24064 b,Radial Velocity,2015,535.59998000,3.00000000,-3.00000000,0,1.290000,0.040000,-0.040000,0,12.300,,,0,4096.82870,918.52870,-918.52870,0,0.350000,0.080000,-0.080000,0,,,,,,,,,4052.00,22.00,-22.00,0,40.00,4.20,-4.20,0,1.61,0.53,-0.53,0,2.546,0.005,-0.005,0,300.2470000,1.9500000,-1.9260000
943,HD 24085 b,Radial Velocity,2019,2.04550000,0.00020000,-0.00020000,0,0.034000,0.001000,-0.001000,0,3.460,,,0,11.80000,3.10000,-3.10000,0,0.220000,0.120000,-0.120000,0,,,,,,,,,6034.00,32.00,-53.00,0,1.41,0.03,-0.02,0,1.22,0.07,-0.07,0,0.377,0.001,-0.001,0,54.9004000,0.0745000,-0.0743000
944,HD 25015 b,Radial Velocity,2019,6134.42700000,618.42583000,-506.67463000,0,6.248000,0.486000,-0.439000,0,12.500,,,0,2884.92845,367.72747,-579.40119,0,0.341000,0.085000,-0.077000,0,,,,,,,,,5160.00,63.00,-63.00,0,0.83,0.04,-0.04,0,0.86,0.10,-0.10,0,-0.384,0.001,-0.001,0,37.4330000,0.0689000,-0.0687000
945,HD 25171 b,Radial Velocity,2010,1802.29000000,24.12000000,-22.92000000,0,2.971000,0.033000,-0.032000,0,13.900,,,0,290.81445,3.49613,-3.81396,0,0.042000,0.046000,-0.029000,0,,,,,,,,,6125.00,21.00,-21.00,0,1.23,0.04,-0.04,0,1.08,0.02,-0.02,0,0.276,,,0,55.6146000,0.0928000,-0.0925000
946,HD 25723 b,Radial Velocity,2020,457.01000000,1.29000000,-1.31000000,0,1.490000,0.040000,-0.050000,0,13.300,,,0,794.57102,44.49598,-54.03083,0,0.040000,0.050000,-0.030000,0,,,,,,,,,4766.00,49.00,-38.00,0,13.76,0.56,-0.56,0,2.12,0.41,-0.55,0,1.944,0.029,-0.028,0,114.8160000,1.3570000,-1.3260000
947,HD 25912 b,Radial Velocity,2022,41.83156000,0.02308000,-0.03093000,0,0.242000,0.009000,-0.010000,0,6.900,,,0,38.13941,4.13177,-4.13177,0,0.050000,0.039000,-0.034000,0,,,,,,,,,5920.58,99.77,-112.80,0,1.00,0.05,-0.04,0,1.08,0.13,-0.13,0,0.041,0.011,-0.015,0,49.1661000,0.0576000,-0.0575000
948,HD 25912 c,Radial Velocity,2022,26308.65619000,2095.17441000,-2794.64410000,0,17.848000,1.147000,-1.484000,0,12.200,,,0,5252.75008,437.33189,-444.64194,0,0.051000,0.048000,-0.025000,0,,,,,,,,,5920.58,99.77,-112.80,0,1.00,0.05,-0.04,0,1.08,0.13,-0.13,0,0.041,0.011,-0.015,0,49.1661000,0.0576000,-0.0575000
949,HD 260655 b,Transit,2022,2.76953000,0.00003000,-0.00003000,0,0.029330,0.000240,-0.000240,0,1.240,0.023,-0.023,0,2.14000,0.34000,-0.34000,0,0.039000,0.043000,-0.023000,0,42.20,0.70,-0.70,0,709,4,-4,0,3803.00,10.00,-10.00,0,0.44,0.00,0.00,0,0.44,0.01,-0.01,0,-1.440,0.002,-0.002,0,10.0055000,0.0050500,-0.0050500
950,HD 260655 c,Transit,2022,5.70588000,0.00007000,-0.00007000,0,0.047490,0.000390,-0.000390,0,1.533,0.051,-0.046,0,3.09000,0.48000,-0.48000,0,0.038000,0.036000,-0.022000,0,16.10,0.30,-0.30,0,557,3,-3,0,3803.00,10.00,-10.00,0,0.44,0.00,0.00,0,0.44,0.01,-0.01,0,-1.440,0.002,-0.002,0,10.0055000,0.0050500,-0.0050500
